analysis_pair_id,source_pair_id,evidence_origin,session_index,block_order,fast_cycle_id,slow_cycle_id,fast_endpoint_squared_residual,slow_endpoint_squared_residual
hardware::session00-cyclepair00,session00-cyclepair00,hardware_session0,0,fast_then_slow,session00-block00-cycle00,session00-block01-cycle00,5.701736442801238e-05,0.001980607182636108
hardware::session00-cyclepair01,session00-cyclepair01,hardware_session0,0,fast_then_slow,session00-block00-cycle01,session00-block01-cycle01,0.0014767273072600982,0.003994457492010009
hardware::session00-cyclepair02,session00-cyclepair02,hardware_session0,0,fast_then_slow,session00-block00-cycle02,session00-block01-cycle02,0.00038477917470929344,1.5412048119313243e-05
hardware::session00-cyclepair03,session00-cyclepair03,hardware_session0,0,fast_then_slow,session00-block00-cycle03,session00-block01-cycle03,0.0010868070490512194,5.705309490343397e-05
hardware::session00-cyclepair04,session00-cyclepair04,hardware_session0,0,fast_then_slow,session00-block00-cycle04,session00-block01-cycle04,0.0014437118194602393,0.0015873150409837096
hardware::session00-cyclepair05,session00-cyclepair05,hardware_session0,0,fast_then_slow,session00-block00-cycle05,session00-block01-cycle05,0.0011044304514260667,0.0002464170970656166
hardware::session00-cyclepair06,session00-cyclepair06,hardware_session0,0,fast_then_slow,session00-block00-cycle06,session00-block01-cycle06,0.0002777483062664829,0.0007020305409278788
hardware::session00-cyclepair07,session00-cyclepair07,hardware_session0,0,fast_then_slow,session00-block00-cycle07,session00-block01-cycle07,0.000584445213693788,0.004314089211335868
hardware::session00-cyclepair08,session00-cyclepair08,hardware_session0,0,fast_then_slow,session00-block00-cycle08,session00-block01-cycle08,0.00028970624331132425,0.003028891251517439
hardware::session00-cyclepair09,session00-cyclepair09,hardware_session0,0,fast_then_slow,session00-block00-cycle09,session00-block01-cycle09,5.513303280336998e-06,0.0009377249157008984
hardware::session00-cyclepair10,session00-cyclepair10,hardware_session0,0,fast_then_slow,session00-block00-cycle10,session00-block01-cycle10,0.0004411860628298636,0.003256134485810089
hardware::session00-cyclepair11,session00-cyclepair11,hardware_session0,0,fast_then_slow,session00-block00-cycle11,session00-block01-cycle11,0.0003939919330273264,0.00011764906158877977
hardware::session00-cyclepair12,session00-cyclepair12,hardware_session0,0,fast_then_slow,session00-block00-cycle12,session00-block01-cycle12,0.00040920156019632654,0.0011305407674718556
hardware::session00-cyclepair13,session00-cyclepair13,hardware_session0,0,fast_then_slow,session00-block00-cycle13,session00-block01-cycle13,0.0009871563437137219,0.0018119546320048503
hardware::session00-cyclepair14,session00-cyclepair14,hardware_session0,0,fast_then_slow,session00-block00-cycle14,session00-block01-cycle14,0.0006658010490432315,0.000284090174024905
hardware::session00-cyclepair15,session00-cyclepair15,hardware_session0,0,fast_then_slow,session00-block00-cycle15,session00-block01-cycle15,4.2594013136887424e-05,0.0007438530102615666
