record_origin,simulation_only,hardware_job_submitted,registered_hardware_endpoint_contribution,pooling_permitted,source_registered_pair_id,session_index,fast_cycle_id,slow_cycle_id,fast_endpoint_squared_residual,slow_endpoint_squared_residual
simulation,True,False,none,False,session01-cyclepair00,1,session01-block01-cycle00,session01-block00-cycle00,0.00034572817468415327,0.002857331372981598
simulation,True,False,none,False,session01-cyclepair01,1,session01-block01-cycle01,session01-block00-cycle01,0.00020831606276824343,0.0013791593240279306
simulation,True,False,none,False,session01-cyclepair02,1,session01-block01-cycle02,session01-block00-cycle02,0.00028629221796215256,0.0006716441023052615
simulation,True,False,none,False,session01-cyclepair03,1,session01-block01-cycle03,session01-block00-cycle03,0.0022083322068432642,0.0013836337642896591
simulation,True,False,none,False,session01-cyclepair04,1,session01-block01-cycle04,session01-block00-cycle04,0.000475967367650585,0.0009648131829899298
simulation,True,False,none,False,session01-cyclepair05,1,session01-block01-cycle05,session01-block00-cycle05,0.0016070469905142355,0.005535235084467943
simulation,True,False,none,False,session01-cyclepair06,1,session01-block01-cycle06,session01-block00-cycle06,0.0013133814296963442,0.002168819976971701
simulation,True,False,none,False,session01-cyclepair07,1,session01-block01-cycle07,session01-block00-cycle07,0.006485165437998052,0.0018005345711211407
simulation,True,False,none,False,session01-cyclepair08,1,session01-block01-cycle08,session01-block00-cycle08,0.0006942451964084133,0.004183763254764565
simulation,True,False,none,False,session01-cyclepair09,1,session01-block01-cycle09,session01-block00-cycle09,0.0015815211886440758,0.012722463437736352
simulation,True,False,none,False,session01-cyclepair10,1,session01-block01-cycle10,session01-block00-cycle10,0.0017423976990433355,0.0014415743758795373
simulation,True,False,none,False,session01-cyclepair11,1,session01-block01-cycle11,session01-block00-cycle11,0.0008101989830842936,0.0017552956343314127
simulation,True,False,none,False,session01-cyclepair12,1,session01-block01-cycle12,session01-block00-cycle12,0.0002116123267890878,0.0004533888889183916
simulation,True,False,none,False,session01-cyclepair13,1,session01-block01-cycle13,session01-block00-cycle13,0.0006589795581570421,0.006128930323231704
simulation,True,False,none,False,session01-cyclepair14,1,session01-block01-cycle14,session01-block00-cycle14,0.001962445924353616,0.0054258214720955805
simulation,True,False,none,False,session01-cyclepair15,1,session01-block01-cycle15,session01-block00-cycle15,0.0025536265151420785,0.006890035282590112
simulation,True,False,none,False,session01-cyclepair16,1,session01-block01-cycle16,session01-block00-cycle16,0.0009504560816568625,0.002465412610667276
simulation,True,False,none,False,session01-cyclepair17,1,session01-block01-cycle17,session01-block00-cycle17,0.0004639411465099807,0.004648154376980716
simulation,True,False,none,False,session01-cyclepair18,1,session01-block01-cycle18,session01-block00-cycle18,0.0004791915471733541,0.0012390636233270901
simulation,True,False,none,False,session01-cyclepair19,1,session01-block01-cycle19,session01-block00-cycle19,0.0005475282191953439,0.002925984885199114
