epoch,train_loss,val_loss,selection_metric,h1_rmse,h1_mae,h1_r2,h1_coverage_1sigma,h1_coverage_2sigma,h2_rmse,h2_mae,h2_r2,h2_coverage_1sigma,h2_coverage_2sigma,Jz_rmse,Jz_mae,Jz_r2,Jz_coverage_1sigma,Jz_coverage_2sigma,learning_rate,elapsed_seconds
1,395.13354858398435,358.9476574707031,0.9480324893674941,1.0931187666491178,0.929298095703125,0.06508343688861029,0.65,1.0,1.1633161079712726,1.0273242950439454,-0.020396301732572564,0.67,1.0,0.5865140392707737,0.50135498046875,0.1887445822840217,0.525,0.98,0.0002995391413931026,9.599444999999832
2,358.77529052734377,357.3166064453125,0.9490397688416575,1.0896049385530246,0.9109643363952636,0.07108435125460677,0.675,0.985,1.170465672735534,1.0334820556640625,-0.03297724611061903,0.625,1.0,0.5864291475756835,0.5072731399536132,0.1889794065471495,0.55,0.97,0.00029815940691897306,2.393493399998988
3,355.39579223632813,348.20952392578124,0.9271667157701172,1.0626842024954537,0.8838727569580078,0.1164185242753214,0.685,0.98,1.1788637309057064,1.0436111450195313,-0.0478535891849321,0.565,1.0,0.5535768032252542,0.4572576904296875,0.2773024997800524,0.65,0.97,0.00029586930309945264,2.557376099997782
4,351.641956108941,346.0498620605469,0.9169953882576477,1.0598932039695323,0.8695424842834473,0.12105364763982074,0.67,0.975,1.1513041026504618,1.0138710403442384,0.000567432701544579,0.59,1.0,0.5508122948088112,0.4387526512145996,0.2845026376593498,0.65,0.97,0.0002926829491861254,2.8383241000010457
5,349.4473234049479,345.8354504394531,0.9260627942211012,1.0729838427405263,0.8704023170471191,0.09920800562122922,0.63,0.955,1.1515663095149844,1.0122937774658203,0.00011214391948854985,0.595,1.0,0.5611597667451548,0.435070743560791,0.257367694348148,0.67,0.945,0.0002886199901104373,2.812672299998667
6,346.5253670247396,343.0209008789063,0.9248042996937085,1.0782254821834287,0.8612200736999511,0.09038558074945213,0.645,0.96,1.152682302624488,1.0090362167358398,-0.0018267955010169423,0.545,1.0,0.55498496232839,0.42682373046875,0.2736211048624829,0.665,0.96,0.0002837054753661609,3.0158775999989302
7,345.742815890842,343.3143701171875,0.9287366683936159,1.0771102065688203,0.8731012344360352,0.09226634897865527,0.655,0.975,1.1587254269987086,1.023873291015625,-0.012358810926522912,0.55,1.0,0.5599774744408059,0.4764633941650391,0.26049366162447574,0.65,1.0,0.00027796970457093673,2.7522871999972267
8,343.77891018337675,343.6329248046875,0.9396105992264657,1.0861552375573402,0.863684196472168,0.07695695409273096,0.645,0.955,1.1499396598576277,1.0057355499267577,0.0029349401208266235,0.545,1.0,0.5814704312968408,0.4399860858917236,0.2026370429830282,0.695,0.95,0.0002714480406590546,2.713745299999573
9,342.5462708875868,340.19165893554685,0.9282490232990718,1.0613237399845004,0.8500184822082519,0.11867942174829793,0.68,0.97,1.1588687089443361,1.0215978622436523,-0.012609192431848548,0.59,1.0,0.5680370515370853,0.43170702934265137,0.23905351593975344,0.675,0.955,0.0002641806918572046,2.698294199999509
10,341.07696926540797,336.4696887207031,0.9128403195819091,1.0569378300539352,0.8612748718261719,0.12594846828369133,0.67,0.96,1.1451484510645709,1.0051302337646484,0.011226148934742719,0.56,1.0,0.5477910505797031,0.4279942512512207,0.2923302180530367,0.685,0.965,0.0002562124637873888,2.74034759999995
11,336.99951510959204,335.576630859375,0.9102815600602261,1.0482862201367589,0.8536878204345704,0.1401990766751422,0.64,0.96,1.1433600756425082,1.0021438598632812,0.014312068629557806,0.585,1.0,0.5487206317802649,0.4537241554260254,0.2899264011708065,0.64,0.985,0.00024759248322536243,2.731489000001602
12,336.3501989746094,334.34643188476565,0.9161307449181487,1.0456501915650938,0.8433990669250488,0.1445177639339189,0.67,0.965,1.1622322840728154,1.0244681549072265,-0.018495847143098265,0.6,1.0,0.5510166655303074,0.4441596508026123,0.28397158981901127,0.65,0.965,0.00023837389521772466,2.579206599999452
13,335.53785427517363,333.50429077148436,0.9136931209013102,1.052436870937906,0.843317756652832,0.13337689689836796,0.635,0.945,1.1525783493981938,1.0009053421020508,-0.0016461066306601158,0.56,0.995,0.5478068929538706,0.4323768615722656,0.2922892851769815,0.64,0.955,0.00022861353542503427,2.627942200000689
14,332.64159925672743,331.62298095703125,0.9130170529185689,1.0488406729347164,0.8390127563476563,0.13928931540948153,0.655,0.97,1.156082207129369,1.0147151947021484,-0.007745405852980891,0.59,1.0,0.5465179934737298,0.43131662368774415,0.29561562113065865,0.665,0.965,0.00021837157971106217,2.7306386999989627
15,331.53876003689237,330.32971557617185,0.9086066374254558,1.0477521540975308,0.8599263572692871,0.1410749319404161,0.65,0.97,1.1494844193101603,1.0065884399414062,0.0037242243123990493,0.565,1.0,0.54216532813039,0.43926907539367677,0.3067908810491088,0.67,0.99,0.00020771117313858086,2.8092553000024054
16,329.46270182291664,328.77167724609376,0.9071560221997953,1.037553919114954,0.8345041275024414,0.1577141523960892,0.665,0.975,1.1515295885784185,1.007980728149414,0.00017591138615213886,0.565,1.0,0.5439857059732569,0.4316279983520508,0.3021280192204545,0.7,0.98,0.00019669804065905458,2.744253300003038
17,329.1424719238281,329.35666015625,0.9168961088165841,1.0606972513670512,0.8470613479614257,0.11971958382002368,0.675,0.97,1.1580513443970288,1.0145992279052733,-0.011181284396192925,0.525,0.995,0.5462631552222957,0.43709951400756836,0.29627236888543274,0.675,0.975,0.0001854000818964578,2.674440599999798
18,326.68520331488713,330.0191589355469,0.9134235840665559,1.0389981403352544,0.8249835968017578,0.15536768405769985,0.64,0.955,1.1540104141691019,1.0062144851684571,-0.0041367194885169045,0.57,0.995,0.5542029787179721,0.4314210796356201,0.27566662413568244,0.63,0.95,0.00017388695252351446,3.163985400002275
19,325.93056667751733,326.42450073242185,0.9056403838864909,1.0404177897585631,0.8448857116699219,0.15305795716867343,0.67,0.965,1.1518636115717371,1.0038381958007812,-0.0004042086116549104,0.57,1.0,0.5391220104153214,0.42545936584472654,0.3145513720091293,0.66,0.97,0.00016222963481131276,2.799199899996893
20,325.7990353732639,327.1640942382812,0.9074887082105292,1.0374570722776184,0.8299632644653321,0.15787138550351676,0.645,0.96,1.150941330807287,1.0015363693237305,0.0011971687931697783,0.57,0.995,0.5450429867931451,0.42553176879882815,0.29941264017778857,0.705,0.955,0.00015049999999999994,2.8323756999998295
21,323.5482352701823,323.8388134765625,0.9022362996778309,1.0325759778458987,0.8342488479614257,0.16577694556377753,0.66,0.96,1.1523385857935131,1.0037664031982423,-0.0012294177314469135,0.565,0.99,0.5365968790743422,0.4338279438018799,0.32095732213059036,0.63,0.97,0.00013877036518868715,2.9732521000005363
22,322.96023464626734,323.34727783203124,0.9002466034401987,1.0269924801975545,0.8225884819030762,0.17477442210128413,0.65,0.96,1.1506649582703934,1.001384162902832,0.001676791033411451,0.57,0.995,0.5368223487340499,0.43206080436706545,0.3203865559061235,0.645,0.975,0.00012711304747648549,2.9483533000020543
